,EPOCH,Train_Accuracy,Test_Accuracy
0,1,1.1627906976744187,0.0
1,2,1.1627906976744187,9.090909090909092
2,3,23.25581395348837,9.090909090909092
3,4,43.02325581395349,13.636363636363637
4,5,54.651162790697676,9.090909090909092
5,6,61.627906976744185,9.090909090909092
6,7,80.23255813953489,0.0
7,8,80.23255813953489,4.545454545454546
8,9,87.20930232558139,4.545454545454546
9,10,95.34883720930233,9.090909090909092
10,11,96.51162790697674,9.090909090909092
11,12,96.51162790697674,9.090909090909092
12,13,97.67441860465117,4.545454545454546
13,14,94.18604651162791,4.545454545454546
14,15,98.83720930232558,4.545454545454546
15,16,98.83720930232558,4.545454545454546
16,17,98.83720930232558,4.545454545454546
17,18,100.0,4.545454545454546
18,19,97.67441860465117,4.545454545454546
19,20,98.83720930232558,0.0
20,21,97.67441860465117,0.0
21,22,98.83720930232558,9.090909090909092
22,23,98.83720930232558,4.545454545454546
23,24,100.0,4.545454545454546
24,25,98.83720930232558,9.090909090909092
25,26,100.0,9.090909090909092
26,27,98.83720930232558,9.090909090909092
27,28,100.0,4.545454545454546
28,29,100.0,4.545454545454546
29,30,100.0,9.090909090909092
30,31,98.83720930232558,4.545454545454546
31,32,100.0,4.545454545454546
32,33,100.0,9.090909090909092
33,34,98.83720930232558,4.545454545454546
34,35,100.0,9.090909090909092
35,36,100.0,9.090909090909092
36,37,100.0,4.545454545454546
37,38,100.0,4.545454545454546
38,39,98.83720930232558,4.545454545454546
39,40,98.83720930232558,0.0
40,41,97.67441860465117,0.0
41,42,100.0,4.545454545454546
42,43,100.0,0.0
43,44,100.0,4.545454545454546
44,45,100.0,4.545454545454546
45,46,100.0,4.545454545454546
46,47,100.0,4.545454545454546
47,48,100.0,4.545454545454546
48,49,100.0,4.545454545454546
49,50,100.0,4.545454545454546
