,EPOCH,Train_Accuracy,Test_Accuracy
0,1,1.1627906976744187,4.545454545454546
1,2,8.13953488372093,18.181818181818183
2,3,27.906976744186046,13.636363636363637
3,4,52.325581395348834,9.090909090909092
4,5,54.651162790697676,0.0
5,6,66.27906976744185,0.0
6,7,82.55813953488372,0.0
7,8,81.3953488372093,0.0
8,9,86.04651162790698,0.0
9,10,94.18604651162791,4.545454545454546
10,11,96.51162790697674,9.090909090909092
11,12,94.18604651162791,9.090909090909092
12,13,94.18604651162791,9.090909090909092
13,14,97.67441860465117,4.545454545454546
14,15,96.51162790697674,4.545454545454546
15,16,98.83720930232558,4.545454545454546
16,17,96.51162790697674,4.545454545454546
17,18,100.0,0.0
18,19,100.0,0.0
19,20,98.83720930232558,4.545454545454546
20,21,98.83720930232558,0.0
21,22,98.83720930232558,4.545454545454546
22,23,100.0,4.545454545454546
23,24,100.0,4.545454545454546
24,25,98.83720930232558,0.0
25,26,100.0,0.0
26,27,100.0,9.090909090909092
27,28,100.0,0.0
28,29,100.0,0.0
29,30,100.0,4.545454545454546
30,31,100.0,9.090909090909092
31,32,100.0,0.0
32,33,100.0,4.545454545454546
33,34,100.0,4.545454545454546
34,35,100.0,4.545454545454546
35,36,100.0,0.0
36,37,98.83720930232558,4.545454545454546
37,38,100.0,4.545454545454546
38,39,100.0,9.090909090909092
39,40,100.0,9.090909090909092
40,41,98.83720930232558,9.090909090909092
41,42,98.83720930232558,4.545454545454546
42,43,100.0,9.090909090909092
43,44,98.83720930232558,0.0
44,45,100.0,0.0
45,46,100.0,4.545454545454546
46,47,100.0,4.545454545454546
47,48,100.0,4.545454545454546
48,49,100.0,9.090909090909092
49,50,100.0,4.545454545454546
